<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
ВТБ ао;D;05/05/23;000000;0.02113;0.021795;0.0209;0.02106;237975820000;5085242355.3
ВТБ ао;D;08/05/23;000000;0.021195;0.021315;0.020675;0.02069;99369090000;2077322246.05
ВТБ ао;D;10/05/23;000000;0.02076;0.02218;0.02075;0.0221;286899450000;6180518791.75
ВТБ ао;D;11/05/23;000000;0.0221;0.022455;0.02122;0.021665;314130370000;6882076301.35
ВТБ ао;D;12/05/23;000000;0.021605;0.02192;0.02141;0.02171;135717700000;2935326546.75
ВТБ ао;D;15/05/23;000000;0.022;0.02249;0.02181;0.02248;137572710000;3041968982.4
ВТБ ао;D;16/05/23;000000;0.02254;0.02269;0.02201;0.02233;137915570000;3073768117.95
ВТБ ао;D;17/05/23;000000;0.02237;0.023485;0.022115;0.023345;435976470000;10003399796.85
ВТБ ао;D;18/05/23;000000;0.02345;0.024145;0.02281;0.02321;501095260000;11767610071.15
ВТБ ао;D;19/05/23;000000;0.023035;0.02364;0.02281;0.02313;221654100000;5147290255
ВТБ ао;D;22/05/23;000000;0.023395;0.02348;0.02261;0.022885;171407150000;3945170071.9
ВТБ ао;D;23/05/23;000000;0.02315;0.0238;0.0228;0.02366;303318930000;7061213598
ВТБ ао;D;24/05/23;000000;0.0238;0.02407;0.02329;0.023625;292403010000;6921526385.4
ВТБ ао;D;25/05/23;000000;0.0236;0.02375;0.02288;0.02322;254984630000;5916139100.75
ВТБ ао;D;26/05/23;000000;0.023115;0.02364;0.02288;0.02325;221968570000;5159064104.7
ВТБ ао;D;29/05/23;000000;0.02349;0.02359;0.022925;0.023205;219766510000;5107964844.6
ВТБ ао;D;30/05/23;000000;0.02285;0.023195;0.02228;0.022485;232708260000;5304691550.15
ВТБ ао;D;31/05/23;000000;0.02236;0.022475;0.021955;0.0222;176541100000;3923941267.75
ВТБ ао;D;01/06/23;000000;0.02225;0.02236;0.021265;0.021425;194516060000;4240309016.95
ВТБ ао;D;02/06/23;000000;0.0205;0.02275;0.02023;0.02263;622221870000;13564847319
ВТБ ао;D;05/06/23;000000;0.0227;0.02303;0.0217;0.021905;299508140000;6675100646.1
ВТБ ао;D;06/06/23;000000;0.02183;0.022625;0.02146;0.022335;214238630000;4727103562.7
ВТБ ао;D;07/06/23;000000;0.02234;0.023245;0.02232;0.02296;360657810000;8252130859.65
ВТБ ао;D;08/06/23;000000;0.022915;0.02317;0.022675;0.02275;169705790000;3885256336.2
ВТБ ао;D;09/06/23;000000;0.022825;0.023075;0.02265;0.022785;118662100000;2713137677.8
ВТБ ао;D;13/06/23;000000;0.02301;0.02333;0.022815;0.02302;184036000000;4238580101.85
ВТБ ао;D;14/06/23;000000;0.02312;0.02323;0.02292;0.02305;104983450000;2422696851.6
ВТБ ао;D;15/06/23;000000;0.023035;0.0231;0.02276;0.02305;108853080000;2499942462.55
ВТБ ао;D;16/06/23;000000;0.02306;0.023165;0.022685;0.022975;110827410000;2542527526.75
ВТБ ао;D;19/06/23;000000;0.022925;0.02306;0.02278;0.022885;87493720000;2006428227.1
ВТБ ао;D;20/06/23;000000;0.022815;0.0229;0.022365;0.022695;114837810000;2607791354.9
ВТБ ао;D;21/06/23;000000;0.022695;0.023;0.022525;0.022775;90555920000;2062880727.9
ВТБ ао;D;22/06/23;000000;0.022705;0.022815;0.0209;0.02233;123013090000;2757287583.75
ВТБ ао;D;23/06/23;000000;0.0222;0.022525;0.0216;0.022;209502100000;4629751828
ВТБ ао;D;26/06/23;000000;0.022275;0.02235;0.021425;0.02188;190469340000;4176023493.35
ВТБ ао;D;27/06/23;000000;0.021935;0.022155;0.02161;0.02181;128744440000;2817562287.05
ВТБ ао;D;28/06/23;000000;0.021845;0.02195;0.0216;0.021675;77328860000;1682233720.5
ВТБ ао;D;29/06/23;000000;0.02165;0.02195;0.02155;0.021805;96213400000;2096990659.05
ВТБ ао;D;30/06/23;000000;0.02181;0.021935;0.021645;0.021685;50854820000;1105446503.6
ВТБ ао;D;03/07/23;000000;0.021795;0.02209;0.021675;0.02209;113339920000;2487301849.4
ВТБ ао;D;04/07/23;000000;0.02214;0.022695;0.02207;0.02243;217582380000;4874482518.8
ВТБ ао;D;05/07/23;000000;0.022525;0.022665;0.022205;0.02244;99031940000;2221725026.55
ВТБ ао;D;06/07/23;000000;0.02245;0.022555;0.022295;0.022415;97839470000;2194850649.5
ВТБ ао;D;07/07/23;000000;0.022445;0.02251;0.022025;0.022485;84905710000;1894538892.4
ВТБ ао;D;10/07/23;000000;0.02268;0.023025;0.02262;0.02301;139973490000;3196026619.9
ВТБ ао;D;11/07/23;000000;0.02302;0.02345;0.02285;0.02336;258294440000;5989254146.6
ВТБ ао;D;12/07/23;000000;0.023435;0.023485;0.02302;0.0232;151323980000;3516381652.1
ВТБ ао;D;13/07/23;000000;0.02323;0.02335;0.0229;0.023075;96551450000;2227901536.5
ВТБ ао;D;14/07/23;000000;0.023065;0.02337;0.02294;0.023275;86207880000;1996762371.8
ВТБ ао;D;17/07/23;000000;0.023055;0.023345;0.022915;0.02323;85729720000;1991508189.6
ВТБ ао;D;18/07/23;000000;0.02327;0.023675;0.02322;0.02354;158511580000;3716875852.25
ВТБ ао;D;19/07/23;000000;0.02361;0.023635;0.02328;0.02335;83774130000;1965336814.75
ВТБ ао;D;20/07/23;000000;0.0234;0.02341;0.02271;0.02276;135665750000;3122749522.2
ВТБ ао;D;21/07/23;000000;0.0228;0.023115;0.02276;0.023035;81620190000;1873640799.65
ВТБ ао;D;24/07/23;000000;0.02312;0.02329;0.023015;0.023225;58112240000;1346758998.3
ВТБ ао;D;25/07/23;000000;0.02329;0.02341;0.02318;0.02331;62771810000;1462202989.95
ВТБ ао;D;26/07/23;000000;0.02331;0.02356;0.02321;0.02349;91254990000;2134173399.1
ВТБ ао;D;27/07/23;000000;0.023555;0.0253;0.023545;0.0251;514402230000;12629467976.4
ВТБ ао;D;28/07/23;000000;0.025125;0.025285;0.024635;0.02508;227682280000;5678731435.1
ВТБ ао;D;31/07/23;000000;0.02535;0.02595;0.02524;0.025815;254625420000;6546090798.1
ВТБ ао;D;01/08/23;000000;0.0259;0.026;0.025415;0.02563;195545800000;5031957964.05
ВТБ ао;D;02/08/23;000000;0.02563;0.025685;0.02534;0.0256;98384100000;2508929958.75
ВТБ ао;D;03/08/23;000000;0.02555;0.02731;0.025415;0.02707;425427190000;11351785596.4
